"date","preci","speed","presh","hum","flight_date","cancelled"
2005-07-05,0,13,1018,76,2005-07-05,28
2005-07-06,3,25,1013,77,2005-07-06,28
2005-07-07,1,12,1015,72,2005-07-07,10
2005-07-10,1,26,1009,82,2005-07-10,31
2005-07-11,0,17,1011,73,2005-07-11,15
2005-07-12,0,13,1017,78,2005-07-12,2
2005-07-13,0,10,1017,79,2005-07-13,5
2005-07-14,0,10,1015,79,2005-07-14,2
2005-07-15,0,11,1015,80,2005-07-15,2
2005-07-16,0,13,1018,78,2005-07-16,1
2005-07-18,0,12,1018,76,2005-07-18,3
2005-07-19,0,12,1017,76,2005-07-19,2
2005-07-20,0,12,1018,74,2005-07-20,2
2005-07-23,0,8,1018,72,2005-07-23,2
2005-07-25,0,8,1016,72,2005-07-25,2
2005-07-26,0,6,1016,75,2005-07-26,2
2005-07-27,0,6,1015,75,2005-07-27,10
2005-07-28,0,9,1015,74,2005-07-28,2
2005-07-31,0,10,1017,77,2005-07-31,2
2005-08-02,0,6,1016,78,2005-08-02,2
2005-08-03,0,7,1015,78,2005-08-03,1
2005-08-04,1,8,1016,81,2005-08-04,2
2005-08-05,0,8,1018,80,2005-08-05,2
2005-08-06,0,10,1017,76,2005-08-06,2
2005-08-07,0,7,1016,76,2005-08-07,2
2005-08-08,0,7,1016,76,2005-08-08,2
2005-08-09,0,7,1016,74,2005-08-09,7
2005-08-10,0,8,1016,74,2005-08-10,4
2005-08-11,0,9,1017,74,2005-08-11,2
2005-08-12,0,7,1017,74,2005-08-12,1
2005-08-13,0,6,1016,75,2005-08-13,2
2005-08-14,0,7,1016,74,2005-08-14,4
2005-08-15,0,8,1018,75,2005-08-15,11
2005-08-16,0,10,1018,73,2005-08-16,11
2005-08-17,0,8,1016,72,2005-08-17,2
2005-08-18,0,8,1016,73,2005-08-18,3
2005-08-19,0,9,1017,72,2005-08-19,5
2005-08-20,0,9,1018,71,2005-08-20,6
2005-08-21,0,9,1017,75,2005-08-21,1
2005-08-23,1,10,1012,77,2005-08-23,4
2005-08-24,0,8,1013,76,2005-08-24,2
2005-08-25,1,11,1013,81,2005-08-25,10
2005-08-26,0,19,1012,80,2005-08-26,7
2005-08-27,0,15,1010,74,2005-08-27,8
2005-08-28,0,18,1008,76,2005-08-28,159
2005-08-29,2,34,1001,83,2005-08-29,269
2005-08-30,0,17,1008,73,2005-08-30,265
2005-08-31,0,7,1012,78,2005-08-31,284
2005-09-01,0,7,1014,78,2005-09-01,276
2005-09-02,0,8,1016,72,2005-09-02,272
2005-09-03,0,8,1016,73,2005-09-03,144
2005-09-04,0,11,1015,67,2005-09-04,146
2005-09-05,0,12,1016,74,2005-09-05,155
2005-09-06,0,14,1017,67,2005-09-06,167
2005-09-07,0,15,1017,65,2005-09-07,121
2005-09-08,0,13,1015,65,2005-09-08,92
2005-09-09,0,10,1015,65,2005-09-09,38
2005-09-10,0,8,1016,65,2005-09-10,33
2005-09-11,0,8,1018,65,2005-09-11,22
2005-09-12,1,7,1019,66,2005-09-12,18
2005-09-13,0,8,1017,64,2005-09-13,14
2005-09-14,0,9,1016,66,2005-09-14,14
2005-09-15,0,10,1017,68,2005-09-15,10
2005-09-16,0,8,1018,68,2005-09-16,2
2005-09-17,0,10,1017,73,2005-09-17,2
2005-09-19,0,10,1018,71,2005-09-19,1
2005-09-22,0,19,1012,74,2005-09-22,4
2005-09-23,1,25,1010,82,2005-09-23,24
2005-09-24,1,29,1011,79,2005-09-24,14
2005-09-25,0,23,1014,79,2005-09-25,6
