"origin","month","day","flight_date","count"
MSY,7.0,1.0,2005-07-01,150
MSY,7.0,2.0,2005-07-02,126
MSY,7.0,3.0,2005-07-03,119
MSY,7.0,4.0,2005-07-04,143
MSY,7.0,5.0,2005-07-05,147
MSY,7.0,6.0,2005-07-06,126
MSY,7.0,7.0,2005-07-07,145
MSY,7.0,8.0,2005-07-08,150
MSY,7.0,9.0,2005-07-09,127
MSY,7.0,10.0,2005-07-10,128
MSY,7.0,11.0,2005-07-11,140
MSY,7.0,12.0,2005-07-12,148
MSY,7.0,13.0,2005-07-13,147
MSY,7.0,14.0,2005-07-14,150
MSY,7.0,15.0,2005-07-15,149
MSY,7.0,16.0,2005-07-16,126
MSY,7.0,17.0,2005-07-17,140
MSY,7.0,18.0,2005-07-18,149
MSY,7.0,19.0,2005-07-19,148
MSY,7.0,20.0,2005-07-20,149
MSY,7.0,21.0,2005-07-21,151
MSY,7.0,22.0,2005-07-22,150
MSY,7.0,23.0,2005-07-23,126
MSY,7.0,24.0,2005-07-24,140
MSY,7.0,25.0,2005-07-25,149
MSY,7.0,26.0,2005-07-26,148
MSY,7.0,27.0,2005-07-27,145
MSY,7.0,28.0,2005-07-28,149
MSY,7.0,29.0,2005-07-29,150
MSY,7.0,30.0,2005-07-30,127
MSY,7.0,31.0,2005-07-31,139
MSY,8.0,1.0,2005-08-01,150
MSY,8.0,2.0,2005-08-02,148
MSY,8.0,3.0,2005-08-03,149
MSY,8.0,4.0,2005-08-04,149
MSY,8.0,5.0,2005-08-05,149
MSY,8.0,6.0,2005-08-06,126
MSY,8.0,7.0,2005-08-07,139
MSY,8.0,8.0,2005-08-08,149
MSY,8.0,9.0,2005-08-09,146
MSY,8.0,10.0,2005-08-10,148
MSY,8.0,11.0,2005-08-11,149
MSY,8.0,12.0,2005-08-12,148
MSY,8.0,13.0,2005-08-13,126
MSY,8.0,14.0,2005-08-14,139
MSY,8.0,15.0,2005-08-15,144
MSY,8.0,16.0,2005-08-16,142
MSY,8.0,17.0,2005-08-17,149
MSY,8.0,18.0,2005-08-18,148
MSY,8.0,19.0,2005-08-19,148
MSY,8.0,20.0,2005-08-20,124
MSY,8.0,21.0,2005-08-21,137
MSY,8.0,22.0,2005-08-22,150
MSY,8.0,23.0,2005-08-23,146
MSY,8.0,24.0,2005-08-24,147
MSY,8.0,25.0,2005-08-25,145
MSY,8.0,26.0,2005-08-26,148
MSY,8.0,27.0,2005-08-27,126
MSY,8.0,28.0,2005-08-28,67
MSY,8.0,29.0,2005-08-29,0
MSY,8.0,30.0,2005-08-30,0
MSY,8.0,31.0,2005-08-31,0
MSY,9.0,1.0,2005-09-01,0
MSY,9.0,2.0,2005-09-02,0
MSY,9.0,3.0,2005-09-03,0
MSY,9.0,4.0,2005-09-04,0
MSY,9.0,5.0,2005-09-05,0
MSY,9.0,6.0,2005-09-06,0
MSY,9.0,7.0,2005-09-07,0
MSY,9.0,8.0,2005-09-08,0
MSY,9.0,9.0,2005-09-09,0
MSY,9.0,10.0,2005-09-10,0
MSY,9.0,11.0,2005-09-11,0
MSY,9.0,12.0,2005-09-12,0
MSY,9.0,13.0,2005-09-13,2
MSY,9.0,14.0,2005-09-14,2
MSY,9.0,15.0,2005-09-15,2
MSY,9.0,16.0,2005-09-16,6
MSY,9.0,17.0,2005-09-17,9
MSY,9.0,18.0,2005-09-18,10
MSY,9.0,19.0,2005-09-19,14
MSY,9.0,20.0,2005-09-20,15
MSY,9.0,21.0,2005-09-21,18
MSY,9.0,22.0,2005-09-22,17
MSY,9.0,23.0,2005-09-23,7
MSY,9.0,24.0,2005-09-24,10
MSY,9.0,25.0,2005-09-25,17
MSY,9.0,26.0,2005-09-26,18
MSY,9.0,27.0,2005-09-27,18
MSY,9.0,28.0,2005-09-28,18
MSY,9.0,29.0,2005-09-29,18
MSY,9.0,30.0,2005-09-30,18
